Aerospace Engineering		Viterbi School of Engineering	Master of Science	Certificate	University of Southern California	Offline	30	6 weeks	https://cluster-data-sources.s3-us-west-1.amazonaws.com/USC+Logo+Resized.png	200	2500	https://ame.usc.edu/	Aerospace and mechanical engineers design and build unique, complex mechanical-optical-electronic (mechoptronic) systems, ranging inscale from the International SpaceStation to microscale electric generators and pumping systems.A broad range of engineering science research is critical to developing novel, complex mechoptronic systems. As a consequence,aerospace and mechanical engineers conduct extensive basic and applied research within and crossing theirusual disciplinary boundaries, they also synthesize research from manyother disciplines.	Spring Summer Fall Jan Mar May Aug Oct	Our students are typically mid-career aerospace engineers or mechanical engineers who are looking to advance their knowledge of additive manufacturing so they can apply the latest design techniques and manufacturing practices to build cutting edge planes, rockets and engines.		
Biotechnology & Life Sciences		Massachusetts Institute of Technology	Bachelor of Science	Bachelor’s	Massachusetts Institute of Technology	Offline	120	4 years	https://upload.wikimedia.org/wikipedia/en/thumb/4/44/MIT_Seal.svg/602px-MIT_Seal.svg.png	250	30000	https://biology.mit.edu/	The mission of the MIT Biotechnology & Life Sciences is to reverse engineer the human mind. To do that we delve deeply into the mechanisms of the brain at all levels — from molecules to synapses to neurons to circuits to algorithms to human behavior and cognition, we build links between those levels, and we train the next generation of scientific leaders. Our headquarters, Building 46, is home to the collaborative, interdisciplinary spirit that inspired our beginnings in 1964 and still guides us today.	Autumn September	Under-graduate, graduate, post-graduate students.		
Aircraft Fabrication & Assembly Technician	Antelope Valley College		Certificate	Certificate	Antelope Valley College	Offline	26	1 year	https://cluster-data-sources.s3-us-west-1.amazonaws.com/Antelope+Valley+College+Logo+Resized.png	46	1196	https://www.avc.edu/academics/afab	This certificate program prepares students for entry-level positions in the aviation industry as structural or composite technicians. Working professionals interested in exploring opportunities in the aviation and aerospace industry will gain practical and classroom experience in everything from aerospace workplace ethics to aircraft structures and production systems.	Fall(8/19); Spring (2/3)	Individuals beginning a career in aviation	Aviation, Technician	Rolling
Engineering Technology	Long Beach City College	Trades & Industrial Technology Department	Certificate	Certificate	Long Beach City College	Hybrid Online/Offline		6 months-1 year	https://cluster-data-sources.s3-us-west-1.amazonaws.com/LBCC+Seal+BW.jpg	46	920	https://www.lbcc.edu/program-engineering-technology	This certificate program prepares students for entry-level positions in the industrial and engineering technology industries. Students may elect to take their courses offline or enroll in hybrid online-on campus classes. Not all courses are available in the hybrid format.  This certificate covers engineering fundamentals including design, computer integrated manufacturing, and principles of engineering.	Fall (8/31); Spring (2/8)	Entry-level engineers	engineering, general engineering, engineers, technicians, machinists	Rolling
Engineering Automation Technology	Long Beach City College	Trades and Industrial Technology Department	Certificate	Certificate	Long Beach City College	Hybrid Online/Offline		6 months-1 year	https://cluster-data-sources.s3-us-west-1.amazonaws.com/LBCC+Seal+BW.jpg	46		https://www.lbcc.edu/program-engineering-technology	This certificate program prepares students for a specialized career in the automation field focusing on production and automation tools and equipment. Students may elect to take their courses offline or enroll in hybrid online-on campus classes. Not all courses are available in the hybrid format. This certificate is designed for entry-level engineering students exploring careers in the automation or manufacturing industries or working professionals interested in upskilling.	Fall (8/31); Spring (2/8)   *ETEC 60, Material Science for Advanced Manufacturing offered only in Spring 	Entry-level engineers 	engineering, general engineering, machinists, engineers	Rolling
Metal Fabrication Technology: Robot Welding A	Long Beach City College	Trades and Industrial Technology Department	Certificate	Certificate	Long Beach City College	Offline		1 year	https://cluster-data-sources.s3-us-west-1.amazonaws.com/LBCC+Seal+BW.jpg	46		https://www.lbcc.edu/program-metal-fabrication-technology	This certificate program is designed according to the standards of the American Welding Society and prepares students for a specialized career in advanced programming and operational duties programming in the automation field. This certificate is designed for entry-level engineering students exploring careers in the automation or manufacturing industries or working professionals interested in upskilling.	Fall (8/31); Spring (2/8)   	Entry level engineers  		Rolling
Aeronautics	California Institute of Technology	Graduate Aerospace Laboratories of the California Institute of Technology (GALCIT)	Master of Science	Master’s	California Institute of Technology	Offline	135	1 year	https://cluster-data-sources.s3-us-west-1.amazonaws.com/CalTech+White+on+Orange+Logo+160px.jpg	374	50487	http://galcit.caltech.edu/academics/grad_an	A one-year, graduate program designed for students with a bachelor’s degree in aeronautics or aerospace. Aeronautics at CalTech is a research-intensive program designed to strengthen students’ foundation in areas such as engineering, aviation, rocketry, technical flying skills, navigation, and aerodynamics.	Fall (9/23); Winter (1/6) Spring: (3/6) 	Students with undergraduate degrees in aerospace engineering, aeronautical engineering or a closely related field; working engineers interested in upskilling  	Aeronautics, Aviation, Engineers	December 1 to January 1.
Aeronautics	California Institute of Technology	Graduate Aerospace Laboratories of the California Institute of Technology (GALCIT)	Ph.D.	Doctorate	California Institute of Technology (CalTech)	Offline	135	5-7 years	https://cluster-data-sources.s3-us-west-1.amazonaws.com/CalTech+White+on+Orange+Logo+160px.jpg	374	50487	http://galcit.caltech.edu/academics/grad_an	A rigorous, research-based program designed for students with postgraduate degrees in aeronautics or aerospace. In this program, students will conduct independent research under the guidance of an advisor that will culminate in a dissertation. This program prepares students for high-level careers in aeronautics, aerospace, and related fields.  	Fall: September 23; WinterJanuary 6; Spring: March 6 	Students with graduate degrees in aerospace engineering, aeronautical engineering or a closely related field; working engineers interested in upskilling 	Aeronautics, Aviation, Engineers	December 1 to January 1.
Space Engineering	California Institute of Technology	Graduate Aerospace Laboratories of the California Institute of Technology (GALCIT)	Master of Science	Master’s	California Institute of Technology	Offline	135	1 year	https://cluster-data-sources.s3-us-west-1.amazonaws.com/CalTech+White+on+Orange+Logo+160px.jpg	374	50487	http://galcit.caltech.edu/academics/grad_as	A one-year, graduate program designed for students with a bachelor’s degree in aerospace, aerospace engineering or aeronautics. This master of science program prioritizes individuals who plan on advancing to the Ph.D. program. Students will receive top-of-the-line advanced training and be prepared to conduct Ph.D. level research or begin a career in the aerospace industry. 	Fall: September 23; WinterJanuary 6; Spring: March 6 	Students with undergraduate degrees in aerospace engineering, aeronautical engineering or a closely related field; working engineers interested in upskilling 	Space, Aerospace, Engineers	December 1 to January 1.
Space Engineering	California Institute of Technology	Graduate Aerospace Laboratories of the California Institute of Technology (GALCIT)	Ph.D.	Doctorate	California Institute of Technology (Caltech)	Offline	135	5-6 years	https://cluster-data-sources.s3-us-west-1.amazonaws.com/CalTech+White+on+Orange+Logo+160px.jpg	374	50487	http://galcit.caltech.edu/academics/grad_as	A rigorous, research-based program designed for students with postgraduate degrees in aerospace, aerospace engineering or aeronautics. In this program, students will conduct independent research under the guidance of an advisor that will culminate in a dissertation. This program prepares students for high-level careers in aerospace and aeronautical engineering.	Fall: September 23; Winter: January 6; Spring: March 6 	Students with graduate degrees in aerospace engineering, aeronautical engineering or a closely related field; working engineers interested in upskilling 	Space, Aerospace, Aeronautics, Engineers	December 1 to January 1.
Mechanical Engineering	California Institute of Technology	Department of Mechanical and Civil Engineering	Master of Science	Master’s	California Institute of Technology (Caltech)	Offline	138	1 year	https://cluster-data-sources.s3-us-west-1.amazonaws.com/CalTech+White+on+Orange+Logo+160px.jpg	366	50487	http://www.mce.caltech.edu/academics/grad_me	A one-year, graduate program designed for students with a bachelor’s degree in mechanical engineering. Mechanical engineering at CalTech is a research-intensive program designed for students looking to advance to the Ph.D. program. Students will receive top-of-the-line advanced training and be prepared to conduct Ph.D. level research or begin careers as engineers in aerospace, energy, semiconductor, and other similar fields.	Fall: September 23; WinterJanuary 6; Spring: March 6 	Students with undergraduate degrees in mechanical engineering, aerospace engineering, aeronautical engineering or a closely related field; working engineers interested in upskilling 	Mechanical Engineer, Engineers	December 1 to January 1.
Mechanical Engineering	California Institute of Technology	Department of Mechanical and Civil Engineering	Ph.D.	Doctorate	California Institute of Technology (CalTech)	Offline	195	5-6 years	https://cluster-data-sources.s3-us-west-1.amazonaws.com/CalTech+White+on+Orange+Logo+160px.jpg	259	50487	http://www.mce.caltech.edu/academics/grad_me	A rigorous, research-based program designed for students with postgraduate degrees in mechanical or aerospace engineering. In this program, students will conduct independent research under the guidance of an advisor that will culminate in a dissertation. This program prepares students for high-level engineering careers in aerospace, energy, semiconductor, and other similar fields. 	Fall: September 23; WinterJanuary 6; Spring: March 6 	Students with undergraduate degrees in mechanical engineering, aerospace engineering, aeronautical engineering or a closely related field; working engineers interested in upskilling 	Mechanical Engineering, Engineers	December 1 to January 1.
Aerospace Engineering	California State University Long Beach	Department of Mechanical and Aerospace Engineering	Master of Science	Master’s	California State University, Long Beach	Offline	30	1 -2 years	https://cluster-data-sources.s3-us-west-1.amazonaws.com/Cal+State+Long+Beach+Seal+Resized+160px.jpg	396	14352-28704	http://catalog.csulb.edu/preview_program.php?catoid=3&poid=1110	A one to two year graduate program designed for students with a bachelor’s degree in aerospace or mechanical engineering. Aerospace engineering at Cal State Long Beach builds on students’ existing physical science, engineering, and mathematics knowledge. Students are introduced to advanced concepts, modern computational and experimental methods that they can then apply to practical applications. Upon graduation, students can advance to a Ph.D. program or begin high-level careers in aerospace or aeronautical engineering.	Fall: August 23; Spring: January 24 	Students with undergraduate degrees in aerospace engineering, aeronautical engineering or a closely related field; working engineers interested in upskilling 	Aerospace Engineering, Engineers	December 1 to January 1.
Mechanical Engineering	California State University Long Beach	Department of Mechanical and Aerospace Engineering	Master of Science	Master’s	California State University, Long Beach	Offline	30	1-2 years	https://cluster-data-sources.s3-us-west-1.amazonaws.com/Cal+State+Long+Beach+Seal+Resized+160px.jpg	396	14352-28704	http://catalog.csulb.edu/preview_program.php?catoid=3&poid=1109	A one to two year graduate program designed for students with a bachelor’s degree in aerospace or mechanical engineering. Mechanical engineering at Cal State Long Beach builds on students’ existing physical science, engineering, and mathematics knowledge. Students are introduced to advanced concepts, modern computational and experimental methods that they can then apply to practical applications. Upon graduation, students can advance to a Ph.D. program or begin high-level careers in aerospace or general engineering.	Fall: August 23; Spring: January 24 	Students with undergraduate degrees in mechanical engineering, aerospace engineering, aeronautical engineering or a closely related field; working engineers interested in upskilling 	Mechanical Engineering, Engineers	June 1
Engineering and Computational Mathematics	California State University Long Beach	College of Engineering at Long Beach State University; Institute of Mathematical Sciences at Claremont Graduate University	Ph.D.	Doctorate	California State University, Long Beach; Claremont Graduate University	Offline	72	7 years	https://cluster-data-sources.s3-us-west-1.amazonaws.com/Cal+State+Long+Beach+Seal+Resized+160px.jpg	396		http://www.csulb.edu/sites/default/files/groups/college-of-engineering/jdp_handbook.pdf	A rigorous, interdisciplinary, research-based program designed for students with postgraduate degrees in engineering, mathematics, or closely related fields. In this program, students will conduct independent research under the guidance of advisors and complete coursework at both the College of Engineering at Cal State Long Beach and the Institute of Mathematical Sciences at Claremont Graduate University. This program prepares students for high-level careers in engineering and mathematics-related fields. 	Fall (8/23); Spring (1/24) 	Students with graduate degrees in mechanical engineering, aerospace engineering, aeronautical engineering, applied mathematics or a closely related field; working engineers interested in upskilling "	Engineering, Mathematics, Engineers	June 1
