Antelope Valley College	Mathematics, Sciences and Engineering Division California Aerospace Technologies Institute of Excellence (CATIE)	3041 W Ave K, Lancaster, CA 93536	Public	Antelope Valley College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC)			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Antelope+Valley+College+Logo+Resized.png	Antelope Valley College is a public institution and community college within the California Community Colleges System. AVC offers associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	14408	rgb(141, 27, 63)	#8D1B3F,#F18904,#8BB8CB	Aircraft Fabrication & Assembly Technician		46
Long Beach City College		4901 E Carson St, Long Beach, CA 90808	Public	Long Beach City College is accredited by the Accrediting Commission for Community and Junior Colleges, Western Association of Schools and Colleges.			https://cluster-data-sources.s3-us-west-1.amazonaws.com/LBCC+Seal+BW.jpg	Long Beach City College is a public institution and community college within the California Community Colleges System. LBCC offers associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	26729	rgb(0, 0, 0)	#000000,#DA291C	Engineering Technology,Engineering Automation Technology,Metal Fabrication Technology: Robot Welding A		46
California Institute of Technology	Graduate Aerospace Laboratories of the California Institute of Technology (GALCIT)	1200 E California Blvd, Pasadena, CA 91125	Private Non-Profit	Caltech receives regional accreditation from WASC Senior College and University Commission (WSCUC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/CalTech+White+on+Orange+Logo+160px.jpg	CalTech is a private, independent science and engineering institute and research university emphasizing scientific leadership, with most of its students studying physics, biology, engineering, and mathematical disciplines. Caltech manages the Jet Propulsion Laboratory (JPL) for NASA. 	2233	rgb(255, 108, 12)	#FF6C0C,#76777B,#C8C8C8	Aeronautics,Aeronautics,Space Engineering,Space Engineering,Mechanical Engineering,Mechanical Engineering	Most well known for its influence on the aerospace industry, GALCIT is Caltech’s graduate research department. Currently, the department facilitates students’ and faculty’s research on space science and technology, micro- and nano-mechanics, and biosystems engineering. 	
California State University Long Beach	College of Engineering	1250 Bellflower Blvd, Long Beach, CA 90840	Public	CSULB receives regional accreditation from WASC Senior College and University Commission.			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Cal+State+Long+Beach+Seal+Resized+160px.jpg	Cal State Long Beach is a public institution within the California State University system. CSU Long Beach offers four-year degrees, graduate programs, and certificate programs. 	37500	rgb(235, 169, 27)	#EBA91B,#000000	Aerospace Engineering,Mechanical Engineering,Engineering and Computational Mathematics,CATIA V5 Fundamentals Boot Camp		
Embry-Riddle Aeronautical University - Worldwide and Online Campus		1 Aerospace Boulevard, Daytona Beach, FL 32114-3900  3700 Willow Creek Road, Prescott, AZ 86301-3720	Private Non-Profit	Embry-Riddle Aeronautical University  is accredited by the Southern Association of Colleges and Schools Commission on Colleges.			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Embry+Riddle+Logo+160px.jpg	Embry-Riddle Aeronautical University is a private institution and one of the largest accredited university systems dedicated to aviation and aerospace.	33771	rgb(0, 83, 159)	#00539F,#A29062	Aeronautics,Unmanned Systems,Aerospace Engineering,Aviation and Aerospace Sustainability,Aviation Cybersecurity Management and Policy,Aviation Maintenance,Aviation Maintenance Technology Part 65,Administration in Aviation,Engineering Management,Systems Engineering,Unmanned & Autonomous Systems Engineering,Small Unmanned Aircraft Systems (sUAS),sUAS for Public Safety,Aviation Cybersecurity Management and Policy		76-1198
University of California, Los Angeles	Henry Samueli School of Engineering and Applied Science	405 Hilgard Avenue, Los Angeles, CA 90095	Public	The University of California, Los Angeles (UCLA) is accredited by the Western Association of Schools and Colleges (WASC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/UCLA+Logo+Blue+Text+on+White+Resized.jpg	The University of California, Los Angeles is a public research institution within the University of California system. UCLA offers four-year degrees, graduate programs, and certificate programs. 	45507	rgb(40, 116, 174)	#2874AE,#FFD101	Aerospace Engineering,Aerospace Engineering,Mechanical Engineering,Mechanical Engineering,Engineering,Materials Science and Engineering,Materials Science and Engineering,Manufacturing Engineering,Engineering-Manufacturing and Design,Aerospace Engineering	UCLA Engineering is named after Dr. Henry Samueli, Ph.D., an alumnus, former professor of the university, and co-founder of Broadcom Corporation. UCLA Engineering emphasizes interdisciplinary research across seven departments: bioengineering, chemical and biomolecular engineering, civil and environmental engineering, computer science, electrical and computer engineering, materials science and engineering, and mechanical and aerospace engineering. 	
University of Southern California	Viterbi School of Engineering (USC Viterbi)	3551 Trousdale Pkwy, Los Angeles, CA, 90089	Private Non-Profit	USC is accredited by the Western Association of Schools and Colleges (WASC)			https://cluster-data-sources.s3-us-west-1.amazonaws.com/USC+Logo+Resized.png	University of Southern California is a private research university offering four-year undergraduate degree programs, graduate degree programs, certificate courses.	44000	rgb(153, 0, 0)	#990000,#FFCC00	Astronautical Engineering,Aviation Safety and Security,System Safety,Aerospace Engineering,Mechanical Engineering,Aerospace Engineering/Engineering Management,Mechanical Engineering/Engineering Management,Astronautical Engineering,Manufacturing Engineering,Green Technologies	Viterbi Engineering is named after Andrew Viterbi, an alumnus of USC, engineer, and co-founder of Qualcomm Inc. Dr. Viterbi is also the inventor of the Viterbi algorithm. USC Viterbi emphasizes bringing together learning theory with practical application to foster innovative engineers. 	1928
Irvine Valley College	University of California, Irvine-Irvine Valley College Engineering Academy 	5500 Irvine Center Dr, Irvine, CA 92618	Public	Irvine Valley College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC) of the Western Association of Schools and Colleges (WASC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/IVC+160PX+RESIZED.jpg	 Irvine Valley College is a public college within the California Community Colleges System and the South Orange County Community College District. IVC offers associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	23133	rgb(0, 72, 137)	#004889,#B2B3B6	Design Model Making and Rapid Prototyping		46
Orange Coast College		2701 Fairview Rd, Costa Mesa, CA 92626	Public	Saddleback College is accredited by the Accrediting Commission for Community and Junior College, Western Association of Schools and Colleges, 			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Orange+Coast+College+Logo+White+Background+Resized.jpg	Saddleback is a public community college located in Mission Viejo, California. OCC offers associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	25000	rgb(247, 146, 56)	#F79238,#002C69	Airframe and Powerplant,Advanced I Welding Specialization: Shielded Metal Arc Welding (SMAW),Advanced I Welding Specialization: Flux-Cored Arc Welding (FCAW) ,Advanced II Welding Specialization: Flux-Cored Arc Welding (FCAW) ,Gas Metal Arc Welding (GMAW) Specailization,Gas Tungsten Arc Welding (GTAW) Specialization,Aviation Science,Machinist,CNC Machine Operator,CNC Machine Programmer,Tooling,Professional Upgrade for CNC Operator,Professional Upgrade for CNC Programmer,Helicopter Theory and Maintenance		46
Saddleback College	The Advanced Technology and Applied Science Division	28000 Marguerite Pkwy, Mission Viejo, CA 92692	Public	Saddleback College is accredited by Accrediting Commission for Community and Junior Colleges (ACCJC), the branch of Western Association of Schools and Colleges (WASC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/saddleback+college+logo+reszied.png	Saddleback College is a public community college within the California Community Colleges System and the South Orange County Community Colleges. Saddleback College offers associate degree programs, career technical programs, general education courses, and workforce preparation courses.	41968	rgb(179, 8, 56)	#B30838,#FEC056	Advanced Manufacturing		46
