School,Program Name,Degree Type,Delivery,Annual Tuition,Location
Santa Rosa Junior College,Mechanlical Engineering,Associate's,Online,"2,855","Santa Rosa, CA"
Santa Rosa Junior College,Administration in Aviation,Associate's,Campus,"1,526","Santa Rosa, CA"
Santa Rosa Junior College,Advanced I Welding Specialization: Flux-Cored Arc Welding (FCAW),Associate's,Online,"2,225","Santa Rosa, CA"
Santa Rosa Junior College,Advanced I Welding Specialization: Shielded Metal Arc Welding (SMAW),Bachelor's,Campus,"4,923","Santa Rosa, CA"
Santa Rosa Junior College,Advanced II Welding Specialization: Flux-Cored Arc Welding (FCAW),Bachelor's,Campus,"3,825","Santa Rosa, CA"
Santa Rosa Junior College,Advanced Manufacturing,Bachelor's,Campus,"4,070","Santa Rosa, CA"
Santa Rosa Junior College,Aeronautics,Associate's,Online,"1,420","Santa Rosa, CA"
Santa Rosa Junior College,Aeronautics and Space Systems,Bachelor's,Online,"2,586","Santa Rosa, CA"
Santa Rosa Junior College,Aerospace Engineering,Associate's,Online,"4,733","Santa Rosa, CA"
Santa Rosa Junior College,Aerospace Engineering / Engineering Management,Associate's,Campus,"2,901","Santa Rosa, CA"
Miami Dade College,Aircraft Fabrication & Assembly Technician,Associate's,Online,"1,158","Miami, FL"
Miami Dade College,Airframe and Powerplant,Associate's,Campus,"2,571","Miami, FL"
Miami Dade College,Airline Management with Asia Focus,Associate's,Online,"1,392","Miami, FL"
Miami Dade College,Astronautical Engineering,Bachelor's,Campus,"4,732","Miami, FL"
Miami Dade College,Automated Machining Specialization,Bachelor's,Campus,"4,695","Miami, FL"
Miami Dade College,Automative Research and Development,Bachelor's,Campus,"3,477","Miami, FL"
Miami Dade College,Aviation and Aerospace Sustainability,Associate's,Online,"4,127","Miami, FL"
Miami Dade College,Aviation Cybersecurity Management and Policy,Bachelor's,Online,"3,990","Miami, FL"
Miami Dade College,Aviation Maintenance,Associate's,Online,"3,458","Miami, FL"
Miami Dade College,Aviation Maintenance Technology Part 65,Associate's,Campus,"3,690","Miami, FL"
Santa Monica College,Aviation Safety and Security,Associate's,Online,"3,796","Santa Monica, CA"
Santa Monica College,Aviation Science,Associate's,Campus,"3,751","Santa Monica, CA"
Santa Monica College,Avionics Technology,Associate's,Online,"4,848","Santa Monica, CA"
Santa Monica College,Biomanufacturing,Bachelor's,Campus,"3,014","Santa Monica, CA"
Santa Monica College,CAD/CAM Specialization,Bachelor's,Campus,"4,711","Santa Monica, CA"
Santa Monica College,CATIA Specialization,Bachelor's,Campus,"2,373","Santa Monica, CA"
Santa Monica College,CATVIA V5 Fundamentals Boot Camp,Associate's,Online,"4,439","Santa Monica, CA"
Santa Monica College,CNC Machine Operator,Bachelor's,Online,"2,839","Santa Monica, CA"
Santa Monica College,CNC Machine Programmer,Associate's,Online,"4,620","Santa Monica, CA"
Santa Monica College,CNC: CAD/CAM,Associate's,Campus,"4,980","Santa Monica, CA"
Long Beach State University,Mechanlical Engineering,Associate's,Online,"1,628","Long Beach, CA"
Long Beach State University,Administration in Aviation,Associate's,Campus,"3,669","Long Beach, CA"
Long Beach State University,Advanced I Welding Specialization: Flux-Cored Arc Welding (FCAW),Associate's,Online,"2,009","Long Beach, CA"
Long Beach State University,Advanced I Welding Specialization: Shielded Metal Arc Welding (SMAW),Bachelor's,Campus,"2,995","Long Beach, CA"
Long Beach State University,Advanced II Welding Specialization: Flux-Cored Arc Welding (FCAW),Bachelor's,Campus,"1,053","Long Beach, CA"
Long Beach State University,Advanced Manufacturing,Bachelor's,Campus,"2,740","Long Beach, CA"
Long Beach State University,Aeronautics,Associate's,Online,"2,556","Long Beach, CA"
Long Beach State University,Aeronautics and Space Systems,Bachelor's,Online,"1,600","Long Beach, CA"
Long Beach State University,Aerospace Engineering,Associate's,Online,"3,070","Long Beach, CA"
Long Beach State University,Aerospace Engineering / Engineering Management,Associate's,Campus,"4,919","Long Beach, CA"
Long Beach State University,Aircraft Fabrication & Assembly Technician,Associate's,Online,"3,897","Long Beach, CA"
Long Beach State University,Airframe and Powerplant,Associate's,Campus,"4,287","Long Beach, CA"
Long Beach State University,Airline Management with Asia Focus,Associate's,Online,"1,183","Long Beach, CA"
Long Beach State University,Astronautical Engineering,Bachelor's,Campus,"1,171","Long Beach, CA"
Long Beach State University,Automated Machining Specialization,Bachelor's,Campus,"4,716","Long Beach, CA"
Long Beach State University,Automative Research and Development,Bachelor's,Campus,"1,603","Long Beach, CA"
Long Beach State University,Aviation and Aerospace Sustainability,Associate's,Online,"4,514","Long Beach, CA"
Long Beach State University,Aviation Cybersecurity Management and Policy,Bachelor's,Online,"4,683","Long Beach, CA"
Long Beach State University,Aviation Maintenance,Associate's,Online,"2,717","Long Beach, CA"
Long Beach State University,Aviation Maintenance Technology Part 65,Associate's,Campus,"1,760","Long Beach, CA"
Long Beach State University,Aviation Safety and Security,Associate's,Online,"1,196","Long Beach, CA"
Long Beach State University,Aviation Science,Associate's,Campus,"1,010","Long Beach, CA"
Long Beach State University,Avionics Technology,Associate's,Online,"4,169","Long Beach, CA"
Long Beach State University,Biomanufacturing,Bachelor's,Campus,"3,895","Long Beach, CA"
Long Beach State University,CAD/CAM Specialization,Bachelor's,Campus,"2,127","Long Beach, CA"
Long Beach State University,CATIA Specialization,Bachelor's,Campus,"1,683","Long Beach, CA"
Long Beach State University,CATVIA V5 Fundamentals Boot Camp,Associate's,Online,"1,479","Long Beach, CA"
Long Beach State University,CNC Machine Operator,Bachelor's,Online,"2,651","Long Beach, CA"
Long Beach State University,CNC Machine Programmer,Associate's,Online,"1,470","Long Beach, CA"
Long Beach State University,CNC: CAD/CAM,Associate's,Campus,"2,255","Long Beach, CA"
Houston Community College,Gas Tungsten Arc Welding (GTAW) Specialization,Bachelor's,Campus,"4,663","Houston, TX"
Houston Community College,Green Technologies,Bachelor's,Campus,"1,111","Houston, TX"
